image_name,specimen_id,source_type,axis_mode_selected,needs_review,notes,scale_method,mm_per_pixel,P1_snout_tip_x,P1_snout_tip_y,P2_eye_front_x,P2_eye_front_y,P3_operculum_posterior_x,P3_operculum_posterior_y,P4_peduncle_start_midpoint_x,P4_peduncle_start_midpoint_y,P5_caudal_base_midpoint_x,P5_caudal_base_midpoint_y,P6_caudal_fork_midpoint_x,P6_caudal_fork_midpoint_y,P7U_caudal_fin_upper_tip_x,P7U_caudal_fin_upper_tip_y,P7L_caudal_fin_lower_tip_x,P7L_caudal_fin_lower_tip_y,P8_body_depth_dorsal_x,P8_body_depth_dorsal_y,P9_body_depth_ventral_x,P9_body_depth_ventral_y,P10_peduncle_depth_dorsal_x,P10_peduncle_depth_dorsal_y,P11_peduncle_depth_ventral_x,P11_peduncle_depth_ventral_y,C1_head_axis_point_x,C1_head_axis_point_y,C2_trunk_axis_point_x,C2_trunk_axis_point_y,C3_posterior_trunk_axis_point_x,C3_posterior_trunk_axis_point_y,C4_peduncle_axis_point_x,C4_peduncle_axis_point_y,P7V_caudal_fin_posterior_endpoint_x,P7V_caudal_fin_posterior_endpoint_y,caudal_tip_selected,caudal_extension_axis_mm,TL_straight_axis_mm,TL_axis_polyline_mm,TL_axis_spline_mm,TL_final_mm,SL_straight_mm,SL_axis_polyline_mm,SL_axis_spline_mm,SL_final_mm,body_depth_mm,body_depth_axis_corrected_mm,head_length_straight_mm,head_length_axis_mm,snout_length_straight_mm,snout_length_axis_mm,caudal_peduncle_length_straight_mm,caudal_peduncle_length_axis_mm,caudal_peduncle_depth_mm,caudal_peduncle_depth_axis_corrected_mm,SL_curve_mm,TL_curve_mm,curvature_index,curvature_index_polyline,curvature_index_spline
"ChatGPT Image May 13, 2026, 10_56_47 PM.png",1,,,False,,aruco_auto,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.751,,,,87.413,,,,,,,,15.281,,,,,,
微信图片_20260514122059_244_6.jpg,1,,,False,,aruco_board_coordinate_auto,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.746,,,,78.296,,,,,,,,32.154,,,,,,
微信图片_20260514161930_250_6.jpg,1,real,spline,False,,aruco_board_coordinate_auto,0.1,927.825,1592.214,1099.644,1515.849,1340.191,1596.032,2649.837,1592.214,2924.748,1649.488,3165.295,1722.035,3325.66,1626.578,3244.532,1884.789,1774.517,1212.775,1771.892,1916.29,2711.651,1535.657,2701.151,1648.534,1223.262,1582.908,1803.393,1561.907,2373.023,1577.658,2772.027,1606.533,3285.901,1758.408,upper,37.722,236.393,238.203,238.233,238.233,199.774,200.481,200.511,200.511,70.352,,41.238,,18.803,,28.081,28.167,11.336,,200.511,238.233,1.004,1.004,1.004
